biblioteca,departamento,nro_registro,domicilio,localidad,provincia,lat,long
Bib.Pop. Práxedes Garde de Arizu,San Rafael,4278,Emilio Civit Oeste 44 O,Villa Atuel,Mendoza,-34.831483,-67.922967
Bib. Pop. Rodolfo Iselin,San Rafael,4426,Comandante Salas 300 ,San Rafael,Mendoza,-34.61105762043116,-68.33035522687778
Bib.Pop. Segundo Manuel Esteves,Tunuyan,3662,Alem 670 ,Tunuyán,Mendoza,-33.582978,-69.012129
Bib.Pop. Vista Flores,Tunuyan,3234,9 de Julio 25 ,Vista Flores,Mendoza,-33.6458,-69.152733
Bib.Pop. de Alto Verde,,4144,Ruta Provincial 50 km 1026 ,Alto Verde,Mendoza,-33.131687,-68.335022
Bib.Pop. Mirador de Las Estrellas,,4095,Dr. Ernesto Mathos 52 ,Tupungato,Mendoza,-33.371167,-69.147083
Asoc.Vecinal Barrio Parque 2 de abril,Capital,4387,calle N° 111 5677 ,Posadas,Misiones,-27.39293498,-55.93388202
Bib.Pop. Granadero Chepoya,Capital,3421,Junín 2238 ,Posadas,Misiones,-27.370567,-55.898383
Bib.Pop. El palomar del R.C.de V.URQ.,Capital,2939,España  3056  ,Posadas,Misiones,-27.3775,-55.896117
Bib.Pop. Posadas,Capital,0793,Cordoba 2069  ,Posadas,Misiones,-27.368567,-55.887667
Bib.Pop. Sur Argentino,Capital,4258,Península de Valdez 3950 Sur Argentino,Posadas,Misiones,-27.382567,-55.913433
Bib.Pop. 23 de Septiembre,25 De Mayo,3336,Av.Los Inmigrantes s/n  ,Santa Rita,Misiones,-27.519417,-54.728317
Bib. Pop. Victorio E. Cardozo,25 De Mayo,3299,Primeros Colonizadores 140 ,25 de Mayo,Misiones,-27.374417,-54.746133
Bib.Pop. María Magdalena Deautier,Apostoles,3970,Demetrio Terleski s/n  ,Azara,Misiones,-28.060983,-55.677767
Asoc.Bib.Pop. Arturo U. Illia,Cainguas,4211,Calle pincipal  ,Pueblo Presidente Arturo U. Illia,Misiones,-27.145657,-54.873123
Asoc.Civ.Bib.Pop. José Hernández,Cainguas,3995,Fray Luis Beltrán  ,Campo Grande,Misiones,-27.207917,-54.978983
Bib. Pop. Solidaria San Marcos,Cainguas,4402,Los Sauces S/N  ,Dos de Mayo,Misiones,-27.029493385791085,-54.68340107257683
Bib.Pop. Sarmiento,Candelaria,0802,Av. M. Belgrano 450 ,Santa Ana,Misiones,-27.370767,-55.582017
Bib.Pop. San Martín,Candelaria,4329,"Ruta Provincial 103, Lote 33  Puerto",Santa Ana,Misiones,-27.3366,-55.586837
Bib. Pop. El Urunday,Candelaria,4394,Lote 1 manz - f Centro civico  ,Profundidad,Misiones,-27.557007,-55.720448
Asoc.Civ.Bib.Pop. Bartolome Mitre,Concepcion,0790,Bartolomé Mitre 385 ,Concepción de la Sierra,Misiones,-27.983833,-55.5207
Bib.Pop. Eldorado,Eldorado,2950,San Luis 195 ,Eldorado,Misiones,-26.404517,-54.61085
Bib.Pop.Esc. de F. Soberanía nacional,Gral Manuel Belgrano,3312,Nicolás Yapeguay  Zona de Exp.B,San Antonio,Misiones,-26.05885,-53.732483
Bib.Pop. Gabriela Mistral,Guarani,3324,Corrientes y Lavalle-Escuela de Frontera  ,El Soberbio,Misiones,-27.296133,-54.19605
Bib.Pop.Pub. Victoria Aguirre,Iguazu,3544,Victoria Aguirre 271 ,Puerto Iguazú,Misiones,-25.598767,-54.575567
Bib.Pop. Alma Guaraní,Iguazu,4363,San Martín s/n  Centro,Wanda,Misiones,-25.972017,-54.560317
Bib.Pop. Mejor pasar,Leandro N Alem,3755,25 de Mayo s/n  ,Gobernador G. Lopez,Misiones,-27.66667,-55.25
Bib.Pop.Mun. Nicolás A. Petcoff,Lib Gral San Martin,3395,Timbo 275 ,Capiovi,Misiones,-26.932917,-55.057017
Bib.Pop. Horacio Quiroga de Puerto Rico,Lib Gral San Martin,2944,Estrada 70 ,Puerto Rico,Misiones,-26.810755,-55.024839
Bib.Pop.Tec. Roque G. de Santa Cruz,Montecarlo,3374,Av. El Libertador 1274 ,Montecarlo,Misiones,-26.570083,-54.74985
Bib.Pop. Horacio Quiroga,Montecarlo,3304,Horacio Quiroga 1665 ,Montecarlo,Misiones,-26.5661,-54.761783
Bib.Pop. D.F.Sarmiento,Montecarlo,2995,Cte. Andrecito s/n  ,Montecarlo,Misiones,-26.566765,-54.766045
Bib. Pop. Vamos a leer,Obera,4079,Saavedra  Villa Lohor,Oberá,Misiones,-27.485,-55.135117
Bib.Pop. D.F.Sarmiento,Obera,2561,Gobernador Barreyro 610 ,Oberá,Misiones,-27.483083,-55.118717
Bib. Pop. Episteme,Obera,4415,"Lote N°59 ""D"" Km20 San Martin Colonia Yabebiry  Km 2 San Martin",San Martin Colonia Yabebiry,Misiones,-27.463934854871642, -55.2810137817967
Asoc.Bib.Pop. Ernesto Sábato,San Ignacio,3935,Aconcagua 460 ,Jardín América,Misiones,-27.039383,-55.229917
Bib.Pop. Patricias argentinas,San Ignacio,0803,Irigoyen 569  ,San Ignacio,Misiones,-27.259383,-55.538867
Bib.Pop. Del Conocimiento al Saber,San Javier,4214,Avda. San Martín y Entre Ríos  ,Mojón Grande,Misiones,-27.716669,-55.166672
Bib.Pop. Dr. Bernardo Elvira,San Javier,3825,Roque González 798 ,San Javier,Misiones,-27.872333,-55.135783
Bib. Pop. Thay Morgenstern,San Pedro,4247,San Martín 826 Centro,San Pedro,Misiones,-26.630859,-54.113159
Bib.Pop. Maestro Galeano,Alumine,3788,Sin dirección  ,Villa Pehuenia,Neuquén,-38.883367,-71.1727
Bib.Pop. Juan Benigar,Alumine,3210,Cristian Jouvert 621 ,Aluminé,Neuquén,-39.237817,-70.918683
Bib. Pop. San Patricio del Chañar,Añelo,3756,Av. Bvard. Maiten Mza.2 Nº 48  76 Viviendas,San Patricio del Chañar,Neuquén,-38.631433,-68.2985
