gid,fna,lat,long
3678,Cementerio Municipal de Morón,-34.66253589699994,-58.62813778699996
3679,Cementerio de Luján de Cuyo,-33.02303320499993,-68.85471745099994
3680,Cementerio Municipal de Rawson,-43.293570588999955,-65.09639394099997
3681,Cementerio de Bell Ville,-32.60218323999993,-62.662538892999976
3682,Cementerio San Gerónimo,-32.634781258999965,-62.69848581499997
3683,Cementerio Gloriam Jardín de Paz,-34.84304222399993,-58.38106572899994
3684,Cementerio Municipal de Florencio Varela,-34.850383618999956,-58.289208963999954
3685,Cementerio Municipal de Campana,-34.17548466699998,-58.974831946999984
3686,Cementerio Municipal de General Alvear,-36.03666029999994,-60.02022359999995
3687,Cementerio Municipal de Alberti,-35.042734053999936,-60.29844570299997
3688,Cementerio Municipal de Bragado,-35.129830795999965,-60.49148461799996
3689,,-26.46115649999996,-54.136278266999966
3690,Cementerio Municipal de Avellaneda,-34.70019266099996,-58.34708723299997
3691,Cementerio Parque Jesús María,-30.99258145799996,-64.07469306199994
3692,Cementerio de General San Martín,-37.99100472499998,-63.61283920999995
3693,Cementerio de Ampujaco,-27.44904407399997,-66.74374582299998
3694,Cementerio Km 5,-45.80959519999993,-67.46482530299994
3695,Cementerio de Vicuña Mackenna,-33.928631149999944,-64.39693979999998
3696,Cementerio de Indio Rico,-38.32698184999998,-60.87050799999997
3697,Cementerio Municipal de Salliqueló,-36.766816749999975,-62.96149719999994
3698,Cementerio Municipal La Madrid,-37.25242812199997,-61.27295099999998
3699,Cementerio de Santa María,-26.70169007399994,-66.04029719299996
3700,Cementerio de Colalao del Valle,-26.36842570099998,-65.96197627199996
3701,Cementerio de Presidente Derqui,-34.486309811999945,-58.85673215199995
3702,Cementerio Municipal de Trenque Lauquen,-35.988568990999966,-62.75624356499998
3703,Cementerio de Saujil,-28.169557999999938,-66.21705404099998
3704,Cementerio Municipal de Carlos Tejedor,-35.410670713999934,-62.44232776399997
3705,Cementerio de San Martín,-29.22546049999994,-65.76950424999995
3706,Cementerio de Las Termas de Río Hondo,-27.484186437999938,-64.87185447799993
3707,Cementerio Municipal de Villa María,-29.900928206999936,-63.730364975999976
